src_ip,dst_ip,src_port,dst_port,src_mac,dst_mac,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwe_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,label
172.16.0.5,192.168.50.1,38809,38600,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T17:43:50.333943,0,750000000.0,0.0,2000000.0,0.0,0,0,750,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_SSDP
172.16.0.5,192.168.50.1,41080,60388,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T17:43:50.333943,0,766000000.0,0.0,2000000.0,0.0,0,0,766,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_SSDP
172.16.0.5,192.168.50.1,53892,24144,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T17:43:50.333943,0,766000000.0,0.0,2000000.0,0.0,0,0,766,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_SSDP
172.16.0.5,192.168.50.1,54278,55805,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T17:43:50.333943,0,375000000.0,0.0,1000000.0,0.0,0,0,750,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,2,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_SSDP
172.16.0.5,192.168.50.1,37369,3451,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T17:43:50.333943,0,750000000.0,0.0,2000000.0,0.0,0,0,750,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_SSDP
172.16.0.5,192.168.50.1,36144,51151,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T17:43:50.333943,0,750000000.0,0.0,2000000.0,0.0,0,0,750,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,2,0,0,0,DrDoS_SSDP
172.16.0.5,192.168.50.1,45739,50351,00:00:00:00:00:00,00:00:00:00:00:00,0,2025-07-16T17:43:50.333943,0,13581.02812,0.0,37.77754691,0.0,0,0,1438,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0,0,0.0,105883,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,4,0,0,0,DrDoS_SSDP
192.168.2.42,192.168.88.100,36125,80,00:00:00:00:00:00,00:00:00:00:00:00,6,2025-07-16T17:43:50.333943,759,0.0,2635.046113,1317.523057,1317.523057,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,20,20,0,0,759.0,759,759,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,2,0,0,1,0.0,32256,2047,0,0,0.0,0,1450000000000000.0,1450000000000000.0,1450000000000000.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,NormalTraffic
192.168.2.52,192.168.2.36,53664,4455,00:00:00:00:00:00,00:00:00:00:00:00,6,2025-07-16T17:43:50.333943,4991007,25342.38081,31.85729854,13.42414467,18.43315387,67,92,1228,125256,1228,0,18.32835821,150.0240777,2456,1228,1361.478261,384.3179624,2456,0,798.2,731.3737294,534907.5321,3084,2944,0,0,31588.6519,164999,12,46445.15858,4991007,165081,81,75621.31818,44559.23751,4990103,165125,31,54836.2967,50346.21418,1,0,0,0,0,0,0,48,159,0,0,1,803.2201258,509,509,0,0,0.0,0,1600000000000000.0,1600000000000000.0,1600000000000000.0,0.0,0,0,126484,93,0,25342,18.32835821,1361.478261,0,0,0,7,787,InitialCompromise
192.168.2.36,192.168.2.52,45313,21,00:00:00:00:00:00,00:00:00:00:00:00,6,2025-07-16T17:43:50.333943,39284,0.0,50.91131249,25.45565625,25.45565625,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,32,32,0,0,39284.0,39284,39284,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,1,0,0,0,2,0,0,1,0.0,504,227,0,0,0.0,0,1600000000000000.0,1600000000000000.0,1600000000000000.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,InitialCompromise
