flow_id,src_ip,src_port,dst_ip,dst_port,protocol,timestamp,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,pkt_size_avg,down_up_ratio,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,fwd_seg_size_avg,bwd_seg_size_avg,fwd_seg_size_min,init_fwd_win_byts,init_bwd_win_byts,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,fwd_act_data_pkts,cwe_flag_count,ece_flag_cnt,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
a60e6e3ece4980dcf878b1f27310d510,10.0.0.1,2054,192.168.1.10,80,6,1752443426.688165,1597322,5,0,200,0,40,40,40,0.0,0,0,0,0,125.209571,3.130239,0,0,0,0,0,5,0,0,0,0,40,40,40,0.0,0,40,0.0,0.39933,0.359965,0.814516,0.009827,1.597322,0.39933,0.359965,0.814516,0.009827,0,0,0,0,0,0,0,3.130239,0.0,40,0,40,40960,0,40,5,3.130239,0,0,0.0,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
76fb4728e7f7bb2612e35d4a31ac5bcc,10.0.0.1,31327,192.168.1.10,80,6,1752443427.051512,1294564,5,0,200,0,40,40,40,0.0,0,0,0,0,154.492168,3.862304,0,0,0,0,0,5,0,0,0,0,40,40,40,0.0,0,40,0.0,0.323641,0.3751,0.826067,0.017612,1.294564,0.323641,0.3751,0.826067,0.017612,0,0,0,0,0,0,0,3.862304,0.0,40,0,40,40960,0,40,5,3.862304,0,0,0.0,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
21ee6f82cd0cacec00d381eb485602ee,10.0.0.1,5743,192.168.1.10,80,6,1752443426.835583,1818984,5,0,200,0,40,40,40,0.0,0,0,0,0,109.951487,2.748787,0,0,0,0,0,5,0,0,0,0,40,40,40,0.0,0,40,0.0,0.454746,0.446485,0.843015,0.045563,1.818984,0.454746,0.446485,0.843015,0.045563,0,0,0,0,0,0,0,2.748787,0.0,40,0,40,40960,0,40,5,2.748787,0,0,0.0,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
a1a6bad07c76c4f4f37e4e124df3deac,10.0.0.1,14368,192.168.1.10,80,6,1752443426.721052,1409969,5,0,200,0,40,40,40,0.0,0,0,0,0,141.847081,3.546177,0,0,0,0,0,5,0,0,0,0,40,40,40,0.0,0,40,0.0,0.352492,0.341195,0.831073,0.047402,1.409969,0.352492,0.341195,0.831073,0.047402,0,0,0,0,0,0,0,3.546177,0.0,40,0,40,40960,0,40,5,3.546177,0,0,0.0,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
5235afd68fd87e31b51b9eaf9ab2ccfa,10.0.0.1,27606,192.168.1.10,80,6,1752443427.056371,1571300,5,0,200,0,40,40,40,0.0,0,0,0,0,127.283139,3.182078,0,0,0,0,0,5,0,0,0,0,40,40,40,0.0,0,40,0.0,0.392825,0.296387,0.818566,0.168112,1.5713,0.392825,0.296387,0.818566,0.168112,0,0,0,0,0,0,0,3.182078,0.0,40,0,40,40960,0,40,5,3.182078,0,0,0.0,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
36430163905c7c0eb9e6d062d1f4a377,10.0.0.1,29744,192.168.1.10,80,6,1752443426.742712,1673374,5,0,200,0,40,40,40,0.0,0,0,0,0,119.519012,2.987975,0,0,0,0,0,5,0,0,0,0,40,40,40,0.0,0,40,0.0,0.418343,0.197064,0.697131,0.247572,1.673374,0.418343,0.197064,0.697131,0.247572,0,0,0,0,0,0,0,2.987975,0.0,40,0,40,40960,0,40,5,2.987975,0,0,0.0,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
a51ee78fee4527e7c512141463609e81,10.0.0.1,20507,192.168.1.10,80,6,1752443426.764954,1850888,5,0,200,0,40,40,40,0.0,0,0,0,0,108.05624,2.701406,0,0,0,0,0,5,0,0,0,0,40,40,40,0.0,0,40,0.0,0.462722,0.349687,0.906438,0.091285,1.850888,0.462722,0.349687,0.906438,0.091285,0,0,0,0,0,0,0,2.701406,0.0,40,0,40,40960,0,40,5,2.701406,0,0,0.0,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
c2a29e75b0e487ee18f5afe54d1b3648,10.0.0.1,20845,192.168.1.10,80,6,1752443426.905784,1729665,5,0,200,0,40,40,40,0.0,0,0,0,0,115.629324,2.890733,0,0,0,0,0,5,0,0,0,0,40,40,40,0.0,0,40,0.0,0.432416,0.347195,0.848238,0.035191,1.729665,0.432416,0.347195,0.848238,0.035191,0,0,0,0,0,0,0,2.890733,0.0,40,0,40,40960,0,40,5,2.890733,0,0,0.0,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
f00d3648a971cd2e143a9e8991a007d2,10.0.0.1,50196,192.168.1.10,80,6,1752443426.756644,1300836,5,0,200,0,40,40,40,0.0,0,0,0,0,153.747272,3.843682,0,0,0,0,0,5,0,0,0,0,40,40,40,0.0,0,40,0.0,0.325209,0.195411,0.486621,0.049075,1.300836,0.325209,0.195411,0.486621,0.049075,0,0,0,0,0,0,0,3.843682,0.0,40,0,40,40960,0,40,5,3.843682,0,0,0.0,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
9e94b2968c326533522373b58e59f22f,10.0.0.1,54425,192.168.1.10,80,6,1752443426.831855,1046139,5,0,200,0,40,40,40,0.0,0,0,0,0,191.179183,4.77948,0,0,0,0,0,5,0,0,0,0,40,40,40,0.0,0,40,0.0,0.261535,0.166217,0.439206,0.118181,1.046139,0.261535,0.166217,0.439206,0.118181,0,0,0,0,0,0,0,4.77948,0.0,40,0,40,40960,0,40,5,4.77948,0,0,0.0,5,200,0,0,0,0,0,0,0,0,0,0,0,0,0
