flow_id,src_ip,src_port,dst_ip,dst_port,protocol,timestamp,attack_label,flow_duration,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,flow_byts_s,flow_pkts_s,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,pkt_len_var,pkt_size_avg,down_up_ratio,flow_iat_mean,flow_iat_std,flow_iat_max,flow_iat_min,fwd_iat_tot,fwd_iat_mean,fwd_iat_std,fwd_iat_max,fwd_iat_min,bwd_iat_tot,bwd_iat_mean,bwd_iat_std,bwd_iat_max,bwd_iat_min,fwd_header_len,bwd_header_len,fwd_pkts_s,bwd_pkts_s,fwd_seg_size_avg,bwd_seg_size_avg,fwd_seg_size_min,init_fwd_win_byts,init_bwd_win_byts,fwd_byts_b_avg,fwd_pkts_b_avg,fwd_blk_rate_avg,bwd_byts_b_avg,bwd_pkts_b_avg,bwd_blk_rate_avg,subflow_fwd_pkts,subflow_fwd_byts,subflow_bwd_pkts,subflow_bwd_byts,fwd_act_data_pkts,cwe_flag_count,ece_flag_cnt,active_mean,active_std,active_max,active_min,idle_mean,idle_std,idle_max,idle_min
a6ee3459a6183b0f977ab80e9b1f377c,10.0.0.3,6100,192.168.1.16,3389,6,2025-07-15T22:30:31.294865,apt_lateral_movement,1,1,0,40,0,40,40,40,0,0,0,0,0,40000000.0,1000000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,40,0,40,8192,0,40,1,1000000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
1819bd664d0ad68420d466b9b6719b5f,10.0.0.2,19007,192.168.1.11,650,6,2025-07-15T22:30:31.680768,apt_reconnaissance,1,1,0,40,0,40,40,40,0,0,0,0,0,40000000.0,1000000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,40,0,40,8192,0,40,1,1000000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
b1f2b79003de2305350bb22442ea3de6,10.0.0.1,19259,192.168.1.10,80,6,2025-07-15T22:30:31.340330,apt_initial_compromise,1,1,0,40,0,40,40,40,0,0,0,0,0,40000000.0,1000000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,40,0,40,8192,0,40,1,1000000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
57f9066764df94c62a4ab3de9a90f301,10.0.0.2,48045,192.168.1.11,194,6,2025-07-15T22:30:33.237844,apt_reconnaissance,1,1,0,40,0,40,40,40,0,0,0,0,0,40000000.0,1000000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,40,0,40,8192,0,40,1,1000000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
60de96248cde5d931bee1708eb0e5a9d,10.0.0.1,51100,192.168.1.10,80,6,2025-07-15T22:30:31.656774,apt_initial_compromise,1,1,0,40,0,40,40,40,0,0,0,0,0,40000000.0,1000000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,40,0,40,8192,0,40,1,1000000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
5e3a6caa81c246c4a294e61ded055930,10.0.0.4,24649,192.168.2.41,22,6,2025-07-15T22:30:33.048864,apt_pivoting,1,1,0,40,0,40,40,40,0,0,0,0,0,40000000.0,1000000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,40,0,40,8192,0,40,1,1000000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
d338e378cd37f877354c3871a8cc1b59,10.0.0.3,5752,192.168.1.13,445,6,2025-07-15T22:30:32.011626,apt_lateral_movement,1,1,0,40,0,40,40,40,0,0,0,0,0,40000000.0,1000000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,40,0,40,8192,0,40,1,1000000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
34e69ed3e9fe7bccc205ca4aaf3070e3,10.0.0.1,44797,192.168.1.10,80,6,2025-07-15T22:30:31.274592,apt_initial_compromise,1,1,0,40,0,40,40,40,0,0,0,0,0,40000000.0,1000000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,40,0,40,8192,0,40,1,1000000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
486fae5cd856c8b937eb7d8af77d124c,10.0.0.2,53406,192.168.1.11,558,6,2025-07-15T22:30:32.055104,apt_reconnaissance,1,1,0,40,0,40,40,40,0,0,0,0,0,40000000.0,1000000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,40,0,40,8192,0,40,1,1000000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
d4a56cfce7a475d2d275a875fc2f908e,10.0.0.3,10640,192.168.1.14,445,6,2025-07-15T22:30:31.880720,apt_lateral_movement,1,1,0,40,0,40,40,40,0,0,0,0,0,40000000.0,1000000.0,0,0,0,0,0,1,0,0,0,0,40,40,40,0,0,40,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000000.0,0.0,40,0,40,8192,0,40,1,1000000.0,0,0,0.0,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0
